epoch,accuracy,loss,val_accuracy,val_loss
0,0.8849009871482849,0.3325098156929016,1.0,0.07005131244659424
1,1.0,0.056749843060970306,1.0,0.044334087520837784
2,1.0,0.040281377732753754,1.0,0.03505175933241844
3,1.0,0.03274228423833847,1.0,0.029564393684267998
4,1.0,0.028036946430802345,1.0,0.025668691843748093
5,1.0,0.024560758844017982,1.0,0.02288614585995674
6,1.0,0.0219702310860157,1.0,0.02055056206882
7,1.0,0.019765833392739296,1.0,0.018730701878666878
8,1.0,0.018027806654572487,1.0,0.017003608867526054
9,1.0,0.01654466614127159,1.0,0.015729038044810295
