epoch,accuracy,loss,val_accuracy,val_loss
0,0.16911764,2.177394488278557,0.375,1.908279265676226
1,0.3189338,1.824894417734707,0.44642857,1.4975492443357195
2,0.47058824,1.4856298986603231,0.51785713,1.3113449130739485
3,0.53860295,1.292131451122901,0.5714286,1.1784641572407313
4,0.6213235,1.1414615213871002,0.6785714,1.0168374606541224
5,0.64797795,1.047110296347562,0.60714287,1.0078717299870081
6,0.6819853,0.9413519317612928,0.66964287,1.1026609114238195
7,0.69669116,0.9245641880175647,0.73214287,0.8467586636543274
8,0.7518382,0.7777829402509857,0.73214287,0.8364070994513375
9,0.7610294,0.7561175564632696,0.7589286,0.7748331044401441
10,0.7610294,0.7463744098649305,0.6875,0.8663119758878436
11,0.7757353,0.6743038647315082,0.75,0.7639629202229636
12,0.78860295,0.6471588401233449,0.78571427,0.6699163658278329
13,0.80514705,0.637628551791696,0.7589286,0.7103975244930812
14,0.8005515,0.6450675988898558,0.7589286,0.6795872960771833
15,0.8170956,0.5577775235561764,0.77678573,0.7178680002689362
16,0.80514705,0.5946000678574338,0.77678573,0.6777613120419639
17,0.85018384,0.5314757243237075,0.8214286,0.6319864051682609
18,0.8446691,0.5281978054519962,0.8035714,0.6322499151740756
19,0.86856616,0.45678993226850734,0.8214286,0.5658730268478394
20,0.8538603,0.4738111057702233,0.8125,0.5849794553858894
21,0.8584559,0.45138531813726707,0.83928573,0.6000074148178101
22,0.8639706,0.4391091831905,0.79464287,0.5943827714238848
23,0.8731618,0.4301406863857718,0.83928573,0.5265935276235852
24,0.8621324,0.4351213291725692,0.84821427,0.5175957722323281
25,0.8851103,0.40622148728545976,0.8660714,0.5061794519424438
26,0.8566176,0.4566732454387581,0.79464287,0.555680336696761
27,0.859375,0.45568186154260354,0.8214286,0.5750007501670292
28,0.85110295,0.4615931690615766,0.8214286,0.5680730726037707
29,0.8740809,0.4335915314800599,0.85714287,0.5417108833789825
